,name,Mw (g/mol),Mn (g/mol),PDI,Regioregularity R%,DP,SANS,SAXS/GWAXS,DLS,SLS,SEC (GPC),DLS Angle (deg),Concentration (mg/ml),Temperature SANS/SLS/DLS/SEC (K),Dark/light,Applied Electrical Field (Kv/cm),Duration of Applied Electrical Field (min),Aging type,Aging time (hour),Aging temp (K),Sonic/stir (bool),E field (kV/cm),Illumination (lux),Aging time (hour).1,To Aging Temperature (K),Stirring /heating time(min),Sonication time (min),Sonication/Stirring/heating Temperature (K),storage temperature (K),Storage time (hour),Solvent(s),Deuterated solvent,Solid additive,Solid additive quantity (mg/ml),Solvent solubility parameter (Hansen),Polymer solubility parameter ,Polymer solubility parameter 𝛿d [MPa1/2],Polymer solubility parameter  𝛿p [MPa1/2],Polymer solubility parameter 𝛿h [MPa1/2],Rh1 (nm),I1 (Normalized 1-0),Rh2 (nm),I2 (Normalized 1-0),Rh3 (nm),I3 (Normalized 1-0),Rh4 (nm),I4 (Normalized 1-0),Rh deviation (nm) ±,Rg1 (nm),Rg2 (nm),Rg 1deviation (nm) ±,"Rcs,g (crossectional radius) (nm)","Rcs,g (crossectional radius) (nm) ±","Rt,g (radius of gyration) (nm)",Ree (chain end-to-end distance) (nm),Ree deviation (nm) ±,A2 (mol dm3/g^2),df,α1 ,q1 range (A-1),α2 ,q2 range (A-1),Lp (nm),Lp deviation (nm) ±,Lc (nm),Lc deviation (nm) ±,ξs (characteristic length scale) (nm),ξs deviation (nm) ±,ξd (mesh size of the dynamic network) (nm),ξd deviation (nm) ±,R disk (nm),R cylinder (nm),R deviation (nm) ±,R core cylinder (nm),L cylinder (nm),L deviation (nm) ±,t (thinkness) (nm),t (thinkness) (nm) ±,A parallelepiped (thickness)(nm),A deviation (nm) ±,B parallelepiped (width)(nm),B deviation (nm) ±,C parallelepiped (length)(nm),C deviation (nm) ±,Light scattering model,SANS/SAXS model,Expected Conformation,Additional notes 1,Additional notes 2,Doi,matched index,Rh (IW avg log),intensity weighted average Rh (nm),derived Rh (nm),normalized intensity (0-1) corrected
10,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,313.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,802.0,1.0,200.0,0.56,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,10.0,822.4094480163353,1132.491189984004,"[74.124, 99.253, 121.302, 149.529, 188.242, 239.612, 322.489, 408.013, 486.982, 573.547, 656.768, 742.939, 911.855, 1222.712, 1592.438, 1967.323, 2369.014, 2774.826, 3471.707, 4551.138, 6182.697]","[0.         0.03929273 0.26424361 0.56876228 0.29862475 0.06679764
 0.02062868 0.11394892 0.28683694 0.45972495 0.65422397 0.83005894
 0.98330059 1.         0.83300589 0.65324165 0.45383104 0.27111984
 0.10314342 0.05009823 0.0324165 ]"
11,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,318.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,781.0,1.0,,,,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,781.0,781.0,,
12,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,323.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,770.0,1.0,155.27,0.25,,,,,,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,12.0,736.3601017492493,906.2501111787999,"[67.289, 90.168, 105.346, 120.229, 130.409, 161.858, 218.347, 293.103, 392.95, 485.272, 542.218, 598.092, 651.647, 779.484, 1046.267, 1290.32, 1446.44, 1621.584, 1970.039, 2626.135, 3528.787]","[0.         0.04251012 0.12145749 0.21356275 0.27327935 0.13562753
 0.00506073 0.00202429 0.03137652 0.11032389 0.35425101 0.58502024
 0.78947368 1.         0.99898785 0.76720648 0.58097166 0.39271255
 0.20242915 0.03441296 0.00506073]"
13,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,328.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,613.0,1.0,100.0,0.11,,,,,,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,13.0,825.8644489137481,937.5554338067682,"[44.242, 59.424, 79.338, 110.322, 173.346, 268.767, 396.78, 532.839, 626.896, 709.854, 750.837, 792.025, 898.241, 989.039, 1133.27, 1217.346, 1332.215, 1599.47, 1906.109, 2381.823]","[0.03645833 0.07395833 0.10520833 0.14479167 0.01979167 0.01770833
 0.021875   0.04895833 0.07604167 0.36354167 0.50729167 0.675
 0.87708333 1.         0.74166667 0.58958333 0.40416667 0.16666667
 0.07083333 0.        ]"
14,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,331.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,382.0,1.0,,,,,,,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,382.0,382.0,,
15,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,333.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,369.0,1.0,71.37,0.25,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,15.0,438.5551847586184,509.68747502642714,"[38.813, 52.143, 62.303, 75.33, 94.046, 125.962, 169.091, 227.49, 282.592, 320.153, 357.629, 388.461, 421.314, 492.971, 638.68, 756.686, 839.316, 930.675, 1133.773, 1517.282, 2035.783]","[0.00205761 0.05041152 0.14814815 0.24897119 0.11213992 0.
 0.00720165 0.13065844 0.2808642  0.51131687 0.70473251 0.84053498
 0.99176955 1.         0.94958848 0.72016461 0.54218107 0.34773663
 0.17489712 0.02057613 0.00205761]"
16,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,335.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,255.0,1.0,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,255.0,255.0,,
17,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,338.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,195.0,1.0,30.0,0.05,,,,,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,17.0,208.10483892415027,229.18864665554935,"[21.433, 33.653, 51.222, 76.76, 95.44, 120.526, 129.639, 138.544, 161.979, 201.522, 265.677, 319.996, 355.886, 395.8, 438.422, 677.768, 1047.78]","[0.         0.08004053 0.02026342 0.01013171 0.10030395 0.22998987
 0.37183384 0.50050659 0.78014184 1.         0.92401216 0.66464032
 0.45694022 0.23910841 0.0597771  0.02026342 0.01013171]"
18,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,303.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,226.0,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,226.0,226.0,,
19,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,308.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,224.0,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,224.0,224.0,,
20,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,313.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,216.0,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,216.0,216.0,,
21,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,318.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,211.0,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,211.0,211.0,,
22,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,323.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,191.0,,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,191.0,191.0,,
23,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,328.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,154.0,,,,,,,,,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,154.0,154.0,,
24,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,331.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,98.0,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,98.0,98.0,,
25,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,333.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,50.0,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,50.0,50.0,,
26,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,335.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,24.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,24.0,24.0,,
27,PPFOH-L,16640.0,10400.0,1.6,,29,0,0,1.0,0,0.0,90,5.0,298.0,,,,heating,24,298.0,,,,24.0,298.0,,,,,,Tol,0.0,,,,,,,,9513.86,1.0,65.44,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZetasizerNano-ZS,Not Accurate because of picture,https://doi.org/10.1039/C2PY20618H,27.0,4147.505537253981,6116.597498214286,"[39.413, 57.222, 78.366, 106.23, 135.417, 162.334, 360.898, 1273.451, 3400.82, 4277.872, 5212.929, 5967.614, 7088.165, 7669.843, 8584.576, 9336.75]","[0.         0.06805293 0.18241966 0.13988658 0.09546314 0.0510397
 0.06143667 0.09451796 0.0926276  0.31568998 0.52362949 0.71455577
 1.         0.79678639 0.64083176 0.51606805]"
28,PPFOH-L,16640.0,10400.0,1.6,,29,0,0,1.0,0,0.0,90,5.0,298.0,,,,heating,12,298.0,,,,12.0,298.0,,,,,,Tol,0.0,,,,,,,,9271.26,1.0,60.64,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZetasizerNano-ZS,Not Accurate because of picture,https://doi.org/10.1039/C2PY20618H,28.0,3157.8942486791566,4064.7628313886985,"[25.902, 41.052, 57.544, 85.77, 113.066, 202.613, 478.63, 2435.94, 3019.952, 3521.005, 3743.978, 4501.252, 5248.075, 6118.806]","[0.         0.02167488 0.16650246 0.07881773 0.01970443 0.01970443
 0.03152709 0.06896552 0.30640394 0.55862069 0.77832512 1.
 0.79901478 0.45714286]"
29,PPFOH-L,16640.0,10400.0,1.6,,29,0,0,1.0,0,0.0,90,5.0,298.0,,,,heating,2,298.0,,,,2.0,298.0,,,,,,Tol,0.0,,,,,,,,8593.39,1.0,323.28,0.43,52.09,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZetasizerNano-ZS,Not Accurate because of picture,https://doi.org/10.1039/C2PY20618H,29.0,5135.031298521362,10751.005061786238,"[25.84, 55.394, 76.042, 117.678, 250.856, 315.476, 459.196, 632.293, 1137.261, 2423.222, 5165.159, 8675.829, 9340.688, 13769.583, 19355.161, 20869.129]","[0.02690583 0.09304933 0.17488789 0.02017937 0.         0.13565022
 0.28699552 0.14798206 0.01345291 0.00224215 0.00224215 0.38004484
 0.65358744 1.         0.61659193 0.27466368]"
30,PPFOH-L,16640.0,10400.0,1.6,,29,0,0,1.0,0,0.0,90,5.0,298.0,,,,heating,0.5,298.0,,,,0.5,298.0,,,,,,Tol,0.0,,,,,,,,6671.9,1.0,406.72,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZetasizerNano-ZS,Not Accurate because of picture,https://doi.org/10.1039/C2PY20618H,30.0,1097.4847525833216,2216.1623551259772,"[10.287, 20.38, 40.756, 82.278, 167.667, 206.593, 210.733, 272.627, 314.016, 389.68, 525.788, 1089.44, 2039.615, 2042.064, 2561.243, 3434.329, 4210.591, 4681.989, 6567.497]","[0.04424779 0.11504425 0.10840708 0.02433628 0.07079646 0.23340708
 0.34623894 0.42477876 0.35951327 0.2289823  0.01880531 0.
 0.01880531 0.32964602 0.66482301 1.         0.69358407 0.34734513
 0.06415929]"
31,PPFOH-L,16640.0,10400.0,1.6,,29,0,0,1.0,0,0.0,90,5.0,298.0,,,,heating,0.166,298.0,,,,0.166,298.0,,,,,,Tol,0.0,,,,,,,,3821.29,1.0,292.3,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZetasizerNano-ZS,Not Accurate because of picture,https://doi.org/10.1039/C2PY20618H,31.0,1687.3147717574052,2659.841147081512,"[16.923, 24.555, 34.543, 70.666, 143.879, 185.311, 287.654, 382.906, 599.691, 1227.955, 1874.415, 2032.603, 2272.258, 3012.454, 3257.064, 4550.315, 5539.561, 6099.951, 8625.955]","[0.05283019 0.1408805  0.04654088 0.01257862 0.03522013 0.22012579
 0.28176101 0.17106918 0.01761006 0.0163522  0.08301887 0.34968553
 0.66666667 1.         0.88679245 0.58113208 0.27672956 0.05283019
 0.        ]"
32,PPFOH-L,16640.0,10400.0,1.6,,29,0,0,1.0,0,0.0,90,5.0,298.0,,,,,0,298.0,,,,,,,,,,,Tol,0.0,,,,,,,,2816.73,1.0,927.13,1,65.7,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZetasizerNano-ZS,Not Accurate because of picture,https://doi.org/10.1039/C2PY20618H,32.0,868.3782487004116,1315.6964496777973,"[12.457, 23.728, 43.867, 56.668, 73.273, 92.995, 121.822, 185.912, 324.127, 415.219, 460.857, 480.13, 585.449, 713.87, 821.634, 1041.819, 1344.587, 1899.367, 2177.965, 2680.556, 3099.603, 3485.43, 3919.283, 4148.327]","[0.00745474 0.         0.0085197  0.18956337 0.38764643 0.26091587
 0.15228967 0.02875399 0.08519702 0.12140575 0.33226837 0.51011715
 0.75505857 1.         0.77635783 0.63365282 0.79872204 0.93290735
 0.64430245 0.51863685 0.37486688 0.2800852  0.18530351 0.10543131]"
33,PTB7,,35000.0,,,,0,0,0.0,1,0.0,,2.0,298.0,,,,,,,,,,,,,,,,,CB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.5,48.0,,,,,,,1.32,0.03,,,,,,,,,,,,,flexible cylinder,,,,https://doi.org/10.1021/acs.jpclett.8b01738,,,,,
34,PTB7,,35000.0,,,,0,0,0.0,1,0.0,,2.0,308.0,,,,,,,,,,,,,,,,,CB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,48.0,,,,,,,1.37,0.03,,,,,,,,,,,,,flexible cylinder,,,,https://doi.org/10.1021/acs.jpclett.8b01738,,,,,
35,PTVT-T ,,,,,,1,0,0.0,0,0.0,,5.0,,,,,,,,,,,,,,,,,,CF,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,1.28,,,,,,,,,,,,,,,,,no Mw and temp,https://doi.org/10.1002/agt2.289,,,,,
36,DPPDTT1,105000.0,47727.27273,2.2,,,0,0,0.0,1,0.0,20,0.11,298.0,,,,,,,,,,,,,,,,,CF,1.0,,,,,,,,,,,,,,,,,17.2,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,,Rg derived from sls in range of concentration,,https://doi.org/10.1021/acs.macromol.0c01646,,,,,
37,DPPDTT2,114000.0,38000.0,3.0,,,0,0,0.0,1,0.0,20,0.11,298.0,,,,,,,,,,,,,,,,,CF,1.0,,,,,,,,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,,,,https://doi.org/10.1021/acs.macromol.0c01646,,,,,
38,DPPDTT3,166000.0,66400.0,2.5,,,0,0,0.0,1,0.0,20,0.11,298.0,,,,,,,,,,,,,,,,,CF,1.0,,,,,,,,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,,,,https://doi.org/10.1021/acs.macromol.0c01646,,,,,
39,DPPDTT2,114000.0,38000.0,3.0,,,0,0,1.0,0,0.0,20,0.15,298.0,,,,storage,2,298.0,,,,2.0,298.0,,,,,,oDCB,1.0,,,,,,,,26.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rod-like/ribbon-like,,,,https://doi.org/10.1021/acs.macromol.0c01646,59.0,24.978093116067665,25.273806818181818,"[12.65, 15.23, 18.33, 19.98, 21.69, 22.24, 25.05, 29.41, 33.71, 38.53, 44.98, 50.91]","[0.         0.         0.         0.23913043 0.61956522 0.82608696
 1.         0.79347826 0.34782609 0.         0.         0.        ]"
