index,name,Mw (g/mol),Mn (g/mol),PDI,Dark/light,Applied Electrical Field (Kv/cm),Duration of Applied Electrical Field (min),DLS Angle (deg),Concentration (mg/ml),Temperature SANS/SLS/DLS/SEC (K),Aging time (hour),To Aging Temperature (K),Stirring /sonication/heating time(min),Sonication time (min),Sonication/Stirring/heating Temperature (K),storage temperature (K),Storage time (hour),Solvent(s),Solid additive,Doi,,index to extract,derived Rh (nm),normalized intensity (0-1),figure number
,,,,,,,,,,,,,,,,,,,,,,340,36.602,0.685,22
,,,,,,,,,,,,,,,,,,,,,,340,51.558,0.97,22
,,,,,,,,,,,,,,,,,,,,,,340,66.443,0.96,22
,,,,,,,,,,,,,,,,,,,,,,340,93.807,0.56,22
,,,,,,,,,,,,,,,,,,,,,,340,122.966,0.415,22
,,,,,,,,,,,,,,,,,,,,,,340,172.157,0.415,22
,,,,,,,,,,,,,,,,,,,,,,340,238.604,0.495,22
,,,,,,,,,,,,,,,,,,,,,,340,323.747,0.41,22
,,,,,,,,,,,,,,,,,,,,,,340,419.675,0.02,22
,,,,,,,,,,,,,,,,,,,,,,340,1201.895,0.015,22
,,,,,,,,,,,,,,,,,,,,,,340,33319.501,0.02,22
,,,,,,,,,,,,,,,,,,,,,,340,48529.623,0.04,22
,,,,,,,,,,,,,,,,,,,,,,340,72018.527,0.245,22
,,,,,,,,,,,,,,,,,,,,,,340,97082.53,0.545,22
,,,,,,,,,,,,,,,,,,,,,,340,118901.904,0.605,22
,,,,,,,,,,,,,,,,,,,,,,340,178279.572,0.395,22
,,,,,,,,,,,,,,,,,,,,,,340,237111.678,0.135,22
,,,,,,,,,,,,,,,,,,,,,,340,351284.976,0.02,22
,,,,,,,,,,,,,,,,,,,,,,340,850244.817,0.015,22
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,341,0.002,0,22
,,,,,,,,,,,,,,,,,,,,,,341,0.007,0.005,22
,,,,,,,,,,,,,,,,,,,,,,341,0.016,0.065,22
,,,,,,,,,,,,,,,,,,,,,,341,0.03,0.095,22
,,,,,,,,,,,,,,,,,,,,,,341,0.053,0.07,22
,,,,,,,,,,,,,,,,,,,,,,341,0.101,0,22
,,,,,,,,,,,,,,,,,,,,,,341,0.29,0.01,22
,,,,,,,,,,,,,,,,,,,,,,341,0.519,0.05,22
,,,,,,,,,,,,,,,,,,,,,,341,1.105,0.065,22
,,,,,,,,,,,,,,,,,,,,,,341,2.555,0.09,22
,,,,,,,,,,,,,,,,,,,,,,341,5.196,0.131,22
,,,,,,,,,,,,,,,,,,,,,,341,8.887,0.211,22
,,,,,,,,,,,,,,,,,,,,,,341,13.84,0.367,22
,,,,,,,,,,,,,,,,,,,,,,341,21.46,0.558,22
,,,,,,,,,,,,,,,,,,,,,,341,29.273,0.764,22
,,,,,,,,,,,,,,,,,,,,,,341,43.851,0.894,22
,,,,,,,,,,,,,,,,,,,,,,341,49.309,0.965,22
,,,,,,,,,,,,,,,,,,,,,,341,65.939,0.995,22
,,,,,,,,,,,,,,,,,,,,,,341,92.552,0.975,22
,,,,,,,,,,,,,,,,,,,,,,341,136.26,0.91,22
,,,,,,,,,,,,,,,,,,,,,,341,211.228,0.769,22
,,,,,,,,,,,,,,,,,,,,,,341,373.369,0.588,22
,,,,,,,,,,,,,,,,,,,,,,341,599.458,0.503,22
,,,,,,,,,,,,,,,,,,,,,,341,1048.248,0.407,22
,,,,,,,,,,,,,,,,,,,,,,341,1546.232,0.327,22
,,,,,,,,,,,,,,,,,,,,,,341,3203.313,0.221,22
,,,,,,,,,,,,,,,,,,,,,,341,3828.901,0.141,22
,,,,,,,,,,,,,,,,,,,,,,341,4981.484,0.055,22
,,,,,,,,,,,,,,,,,,,,,,341,7009.694,0.015,22
,,,,,,,,,,,,,,,,,,,,,,341,44668.872,0.005,22
,,,,,,,,,,,,,,,,,,,,,,341,79829.841,0.07,22
,,,,,,,,,,,,,,,,,,,,,,341,96413.535,0.241,22
,,,,,,,,,,,,,,,,,,,,,,341,114902.024,0.518,22
,,,,,,,,,,,,,,,,,,,,,,341,167458.034,0.533,22
,,,,,,,,,,,,,,,,,,,,,,341,255291.636,0.191,22
,,,,,,,,,,,,,,,,,,,,,,341,350606.981,0.01,22
,,,,,,,,,,,,,,,,,,,,,,341,1406655.297,0,22
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,412,2.078,0,23
,,,,,,,,,,,,,,,,,,,,,,412,2.725,0,23
,,,,,,,,,,,,,,,,,,,,,,412,3.67,0.027,23
,,,,,,,,,,,,,,,,,,,,,,412,5.08,0.03,23
,,,,,,,,,,,,,,,,,,,,,,412,6.844,0.008,23
,,,,,,,,,,,,,,,,,,,,,,412,9.219,-0.001,23
,,,,,,,,,,,,,,,,,,,,,,412,12.42,-0.001,23
,,,,,,,,,,,,,,,,,,,,,,412,14.221,0.021,23
,,,,,,,,,,,,,,,,,,,,,,412,17.191,0.051,23
,,,,,,,,,,,,,,,,,,,,,,412,21.351,0.111,23
,,,,,,,,,,,,,,,,,,,,,,412,23.158,0.131,23
,,,,,,,,,,,,,,,,,,,,,,412,32.054,0.185,23
,,,,,,,,,,,,,,,,,,,,,,412,43.181,0.198,23
,,,,,,,,,,,,,,,,,,,,,,412,59.768,0.181,23
,,,,,,,,,,,,,,,,,,,,,,412,80.516,0.146,23
,,,,,,,,,,,,,,,,,,,,,,412,108.466,0.107,23
,,,,,,,,,,,,,,,,,,,,,,412,150.131,0.072,23
,,,,,,,,,,,,,,,,,,,,,,412,202.247,0.043,23
,,,,,,,,,,,,,,,,,,,,,,412,272.455,0.022,23
,,,,,,,,,,,,,,,,,,,,,,412,377.112,0.009,23
,,,,,,,,,,,,,,,,,,,,,,412,508.022,0.001,23
,,,,,,,,,,,,,,,,,,,,,,412,703.168,-0.002,23
,,,,,,,,,,,,,,,,,,,,,,412,947.263,-0.005,23
,,,,,,,,,,,,,,,,,,,,,,412,1311.134,-0.006,23
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,413,1.653,-0.001,23
,,,,,,,,,,,,,,,,,,,,,,413,2.395,-0.001,23
,,,,,,,,,,,,,,,,,,,,,,413,2.807,0.033,23
,,,,,,,,,,,,,,,,,,,,,,413,3.121,0.059,23
,,,,,,,,,,,,,,,,,,,,,,413,3.562,0.089,23
,,,,,,,,,,,,,,,,,,,,,,413,5.298,0.108,23
,,,,,,,,,,,,,,,,,,,,,,413,6.377,0.085,23
,,,,,,,,,,,,,,,,,,,,,,413,7.88,0.06,23
,,,,,,,,,,,,,,,,,,,,,,413,11.721,0.096,23
,,,,,,,,,,,,,,,,,,,,,,413,14.485,0.13,23
,,,,,,,,,,,,,,,,,,,,,,413,17.433,0.156,23
,,,,,,,,,,,,,,,,,,,,,,413,25.929,0.128,23
,,,,,,,,,,,,,,,,,,,,,,413,37.559,0.08,23
,,,,,,,,,,,,,,,,,,,,,,413,57.362,0.035,23
,,,,,,,,,,,,,,,,,,,,,,413,83.088,0.01,23
,,,,,,,,,,,,,,,,,,,,,,413,123.582,-0.001,23
,,,,,,,,,,,,,,,,,,,,,,413,188.739,-0.001,23
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,414,1.024,0,24
,,,,,,,,,,,,,,,,,,,,,,414,2.782,0,24
,,,,,,,,,,,,,,,,,,,,,,414,3.202,0.029,24
,,,,,,,,,,,,,,,,,,,,,,414,3.564,0.062,24
,,,,,,,,,,,,,,,,,,,,,,414,4.251,0.092,24
,,,,,,,,,,,,,,,,,,,,,,414,4.888,0.119,24
,,,,,,,,,,,,,,,,,,,,,,414,5.49,0.136,24
,,,,,,,,,,,,,,,,,,,,,,414,6.187,0.159,24
,,,,,,,,,,,,,,,,,,,,,,414,6.929,0.137,24
,,,,,,,,,,,,,,,,,,,,,,414,7.663,0.125,24
,,,,,,,,,,,,,,,,,,,,,,414,8.703,0.096,24
,,,,,,,,,,,,,,,,,,,,,,414,10.189,0.057,24
,,,,,,,,,,,,,,,,,,,,,,414,11.709,0.017,24
,,,,,,,,,,,,,,,,,,,,,,414,16.857,-0.003,24
,,,,,,,,,,,,,,,,,,,,,,414,24.77,0.016,24
,,,,,,,,,,,,,,,,,,,,,,414,30.105,0.047,24
,,,,,,,,,,,,,,,,,,,,,,414,36.437,0.07,24
,,,,,,,,,,,,,,,,,,,,,,414,43.974,0.088,24
,,,,,,,,,,,,,,,,,,,,,,414,54.042,0.106,24
,,,,,,,,,,,,,,,,,,,,,,414,77.311,0.108,24
,,,,,,,,,,,,,,,,,,,,,,414,111.333,0.089,24
,,,,,,,,,,,,,,,,,,,,,,414,162.484,0.062,24
,,,,,,,,,,,,,,,,,,,,,,414,221.156,0.038,24
,,,,,,,,,,,,,,,,,,,,,,414,312.851,0.019,24
,,,,,,,,,,,,,,,,,,,,,,414,468.393,0.006,24
,,,,,,,,,,,,,,,,,,,,,,414,655.064,-0.001,24
,,,,,,,,,,,,,,,,,,,,,,414,933.519,-0.006,24
,,,,,,,,,,,,,,,,,,,,,,414,1334.18,-0.006,24
,,,,,,,,,,,,,,,,,,,,,,414,1939.261,-0.008,24
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,415,0.674,0,25
,,,,,,,,,,,,,,,,,,,,,,415,0.997,0.002,25
,,,,,,,,,,,,,,,,,,,,,,415,1.38,-0.001,25
,,,,,,,,,,,,,,,,,,,,,,415,1.974,0,25
,,,,,,,,,,,,,,,,,,,,,,415,2.813,0.015,25
,,,,,,,,,,,,,,,,,,,,,,415,3.078,0.063,25
,,,,,,,,,,,,,,,,,,,,,,415,3.255,0.112,25
,,,,,,,,,,,,,,,,,,,,,,415,3.498,0.163,25
,,,,,,,,,,,,,,,,,,,,,,415,3.827,0.213,25
,,,,,,,,,,,,,,,,,,,,,,415,4.273,0.181,25
,,,,,,,,,,,,,,,,,,,,,,415,5.038,0.138,25
,,,,,,,,,,,,,,,,,,,,,,415,5.74,0.095,25
,,,,,,,,,,,,,,,,,,,,,,415,6.768,0.05,25
,,,,,,,,,,,,,,,,,,,,,,415,8.554,0.002,25
,,,,,,,,,,,,,,,,,,,,,,415,12.667,0.001,25
,,,,,,,,,,,,,,,,,,,,,,415,17.816,0.001,25
,,,,,,,,,,,,,,,,,,,,,,415,24.218,0.001,25
,,,,,,,,,,,,,,,,,,,,,,415,28.497,0.032,25
,,,,,,,,,,,,,,,,,,,,,,415,34.649,0.068,25
,,,,,,,,,,,,,,,,,,,,,,415,42.149,0.102,25
,,,,,,,,,,,,,,,,,,,,,,415,48.778,0.131,25
,,,,,,,,,,,,,,,,,,,,,,415,68.428,0.141,25
,,,,,,,,,,,,,,,,,,,,,,415,102.121,0.109,25
,,,,,,,,,,,,,,,,,,,,,,415,147.778,0.065,25
,,,,,,,,,,,,,,,,,,,,,,415,213.381,0.029,25
,,,,,,,,,,,,,,,,,,,,,,415,306.627,0.012,25
,,,,,,,,,,,,,,,,,,,,,,415,439.85,0.002,25
,,,,,,,,,,,,,,,,,,,,,,415,618.661,0.002,25
,,,,,,,,,,,,,,,,,,,,,,415,931.603,0.002,25
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,420,0.165,0.011,26
,,,,,,,,,,,,,,,,,,,,,,420,1.055,-0.001,26
,,,,,,,,,,,,,,,,,,,,,,420,1.705,0.026,26
,,,,,,,,,,,,,,,,,,,,,,420,2.849,0.098,26
,,,,,,,,,,,,,,,,,,,,,,420,4.579,0.185,26
,,,,,,,,,,,,,,,,,,,,,,420,6.911,0.152,26
,,,,,,,,,,,,,,,,,,,,,,420,11.775,0.028,26
,,,,,,,,,,,,,,,,,,,,,,420,19.838,0.01,26
,,,,,,,,,,,,,,,,,,,,,,420,54.107,0.003,26
,,,,,,,,,,,,,,,,,,,,,,420,81.087,0.046,26
,,,,,,,,,,,,,,,,,,,,,,420,95.478,0.286,26
,,,,,,,,,,,,,,,,,,,,,,420,129.528,0.601,26
,,,,,,,,,,,,,,,,,,,,,,420,211.601,0.915,26
,,,,,,,,,,,,,,,,,,,,,,420,332.835,0.836,26
,,,,,,,,,,,,,,,,,,,,,,420,560.373,0.425,26
,,,,,,,,,,,,,,,,,,,,,,420,1054.733,0.014,26
,,,,,,,,,,,,,,,,,,,,,,420,1656.704,0,26
,,,,,,,,,,,,,,,,,,,,,,420,2685.653,0.017,26
,,,,,,,,,,,,,,,,,,,,,,420,3888.924,0.03,26
,,,,,,,,,,,,,,,,,,,,,,420,6696.104,0.177,26
,,,,,,,,,,,,,,,,,,,,,,420,10733.841,0.295,26
,,,,,,,,,,,,,,,,,,,,,,420,17820.239,0.035,26
,,,,,,,,,,,,,,,,,,,,,,420,28888.077,0.032,26
,,,,,,,,,,,,,,,,,,,,,,420,45790.938,0.27,26
,,,,,,,,,,,,,,,,,,,,,,420,71472.881,0.675,26
,,,,,,,,,,,,,,,,,,,,,,420,114892.671,0.762,26
,,,,,,,,,,,,,,,,,,,,,,420,198243.309,0.487,26
,,,,,,,,,,,,,,,,,,,,,,420,225068.259,0.32,26
,,,,,,,,,,,,,,,,,,,,,,420,336589.913,-0.014,26
,,,,,,,,,,,,,,,,,,,,,,420,469614.803,-0.001,26
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,421,0.367,0.021,26
,,,,,,,,,,,,,,,,,,,,,,421,0.759,0.022,26
,,,,,,,,,,,,,,,,,,,,,,421,1.569,0.017,26
,,,,,,,,,,,,,,,,,,,,,,421,3.246,0.007,26
,,,,,,,,,,,,,,,,,,,,,,421,6.692,0.072,26
,,,,,,,,,,,,,,,,,,,,,,421,10.224,0.213,26
,,,,,,,,,,,,,,,,,,,,,,421,13.668,0.337,26
,,,,,,,,,,,,,,,,,,,,,,421,15.254,0.395,26
,,,,,,,,,,,,,,,,,,,,,,421,21.325,0.377,26
,,,,,,,,,,,,,,,,,,,,,,421,26.946,0.247,26
,,,,,,,,,,,,,,,,,,,,,,421,53.503,0.003,26
,,,,,,,,,,,,,,,,,,,,,,421,110.729,-0.016,26
,,,,,,,,,,,,,,,,,,,,,,421,228.401,0.036,26
,,,,,,,,,,,,,,,,,,,,,,421,371.559,0.359,26
,,,,,,,,,,,,,,,,,,,,,,421,508.113,0.696,26
,,,,,,,,,,,,,,,,,,,,,,421,874.847,0.915,26
,,,,,,,,,,,,,,,,,,,,,,421,1823.813,0.739,26
,,,,,,,,,,,,,,,,,,,,,,421,3825.71,0.429,26
,,,,,,,,,,,,,,,,,,,,,,421,7994.772,0.201,26
,,,,,,,,,,,,,,,,,,,,,,421,16627.944,0.075,26
,,,,,,,,,,,,,,,,,,,,,,421,34486.378,0.01,26
,,,,,,,,,,,,,,,,,,,,,,421,63285.826,-0.027,26
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,422,0.996,0.02,26
,,,,,,,,,,,,,,,,,,,,,,422,2.058,0.017,26
,,,,,,,,,,,,,,,,,,,,,,422,4.253,0.011,26
,,,,,,,,,,,,,,,,,,,,,,422,8.815,0.028,26
,,,,,,,,,,,,,,,,,,,,,,422,18.162,0.002,26
,,,,,,,,,,,,,,,,,,,,,,422,37.572,0.006,26
,,,,,,,,,,,,,,,,,,,,,,422,63.54,0.049,26
,,,,,,,,,,,,,,,,,,,,,,422,160.367,-0.006,26
,,,,,,,,,,,,,,,,,,,,,,422,278.388,0.129,26
,,,,,,,,,,,,,,,,,,,,,,422,382.693,0.526,26
,,,,,,,,,,,,,,,,,,,,,,422,491.063,0.865,26
,,,,,,,,,,,,,,,,,,,,,,422,741.631,0.892,26
,,,,,,,,,,,,,,,,,,,,,,422,792.202,0.566,26
,,,,,,,,,,,,,,,,,,,,,,422,808.174,0.305,26
,,,,,,,,,,,,,,,,,,,,,,422,1137.209,-0.009,26
,,,,,,,,,,,,,,,,,,,,,,422,2374.705,-0.029,26
,,,,,,,,,,,,,,,,,,,,,,422,4906.407,-0.034,26
,,,,,,,,,,,,,,,,,,,,,,422,10139.506,-0.038,26
,,,,,,,,,,,,,,,,,,,,,,422,20972.355,-0.036,26
,,,,,,,,,,,,,,,,,,,,,,422,43464.17,-0.02,26
,,,,,,,,,,,,,,,,,,,,,,422,66077.517,0.064,26
,,,,,,,,,,,,,,,,,,,,,,422,100827.969,0.164,26
,,,,,,,,,,,,,,,,,,,,,,422,133455.268,0.044,26
,,,,,,,,,,,,,,,,,,,,,,422,185744.402,-0.023,26
,,,,,,,,,,,,,,,,,,,,,,422,284801.612,-0.059,26
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,492,6.999,0.008,28
,,,,,,,,,,,,,,,,,,,,,,492,13.581,0.008,28
,,,,,,,,,,,,,,,,,,,,,,492,18.581,0.016,28
,,,,,,,,,,,,,,,,,,,,,,492,24.57,0.012,28
,,,,,,,,,,,,,,,,,,,,,,492,34.846,0.004,28
,,,,,,,,,,,,,,,,,,,,,,492,80.499,0.004,28
,,,,,,,,,,,,,,,,,,,,,,492,179.538,0.008,28
,,,,,,,,,,,,,,,,,,,,,,492,219.19,0.148,28
,,,,,,,,,,,,,,,,,,,,,,492,240.811,0.3,28
,,,,,,,,,,,,,,,,,,,,,,492,273.661,0.467,28
,,,,,,,,,,,,,,,,,,,,,,492,300.003,0.65,28
,,,,,,,,,,,,,,,,,,,,,,492,341.112,0.809,28
,,,,,,,,,,,,,,,,,,,,,,492,376.596,0.891,28
,,,,,,,,,,,,,,,,,,,,,,492,460.644,1.004,28
,,,,,,,,,,,,,,,,,,,,,,492,578.799,0.732,28
,,,,,,,,,,,,,,,,,,,,,,492,675.124,0.525,28
,,,,,,,,,,,,,,,,,,,,,,492,789.405,0.284,28
,,,,,,,,,,,,,,,,,,,,,,492,920.279,0.086,28
,,,,,,,,,,,,,,,,,,,,,,492,1027.382,0.008,28
,,,,,,,,,,,,,,,,,,,,,,492,3736.423,0.004,28
,,,,,,,,,,,,,,,,,,,,,,492,26352.572,0.008,28
,,,,,,,,,,,,,,,,,,,,,,492,28928.46,0.171,28
,,,,,,,,,,,,,,,,,,,,,,492,29720.59,0.284,28
,,,,,,,,,,,,,,,,,,,,,,492,30327.86,0.494,28
,,,,,,,,,,,,,,,,,,,,,,492,35504.948,0.735,28
,,,,,,,,,,,,,,,,,,,,,,492,42686.568,0.595,28
,,,,,,,,,,,,,,,,,,,,,,492,51209.474,0.486,28
,,,,,,,,,,,,,,,,,,,,,,492,62054.328,0.233,28
,,,,,,,,,,,,,,,,,,,,,,492,69975.745,0.012,28
,,,,,,,,,,,,,,,,,,,,,,492,282569.997,0.008,28
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,493,1.023,0.007,28
,,,,,,,,,,,,,,,,,,,,,,493,1.574,0.007,28
,,,,,,,,,,,,,,,,,,,,,,493,2.383,0.008,28
,,,,,,,,,,,,,,,,,,,,,,493,3.219,0.044,28
,,,,,,,,,,,,,,,,,,,,,,493,3.597,0.079,28
,,,,,,,,,,,,,,,,,,,,,,493,4.216,0.309,28
,,,,,,,,,,,,,,,,,,,,,,493,4.628,0.457,28
,,,,,,,,,,,,,,,,,,,,,,493,5.028,0.618,28
,,,,,,,,,,,,,,,,,,,,,,493,6.508,0.907,28
,,,,,,,,,,,,,,,,,,,,,,493,7.507,0.985,28
,,,,,,,,,,,,,,,,,,,,,,493,10.201,0.939,28
,,,,,,,,,,,,,,,,,,,,,,493,10.341,0.88,28
,,,,,,,,,,,,,,,,,,,,,,493,11.205,0.78,28
,,,,,,,,,,,,,,,,,,,,,,493,12.995,0.6,28
,,,,,,,,,,,,,,,,,,,,,,493,15.071,0.419,28
,,,,,,,,,,,,,,,,,,,,,,493,16.636,0.296,28
,,,,,,,,,,,,,,,,,,,,,,493,19.374,0.135,28
,,,,,,,,,,,,,,,,,,,,,,493,25.951,0.086,28
,,,,,,,,,,,,,,,,,,,,,,493,26.931,0.047,28
,,,,,,,,,,,,,,,,,,,,,,493,31.621,0.154,28
,,,,,,,,,,,,,,,,,,,,,,493,34.476,0.197,28
,,,,,,,,,,,,,,,,,,,,,,493,43.059,0.35,28
,,,,,,,,,,,,,,,,,,,,,,493,48.122,0.426,28
,,,,,,,,,,,,,,,,,,,,,,493,54.717,0.485,28
,,,,,,,,,,,,,,,,,,,,,,493,71.889,0.522,28
,,,,,,,,,,,,,,,,,,,,,,493,80.839,0.47,28
,,,,,,,,,,,,,,,,,,,,,,493,98.805,0.371,28
,,,,,,,,,,,,,,,,,,,,,,493,121.513,0.216,28
,,,,,,,,,,,,,,,,,,,,,,493,139.195,0.126,28
,,,,,,,,,,,,,,,,,,,,,,493,165.469,0.061,28
,,,,,,,,,,,,,,,,,,,,,,493,209.937,0.01,28
,,,,,,,,,,,,,,,,,,,,,,493,731.669,0.007,28
,,,,,,,,,,,,,,,,,,,,,,493,1664.358,0.03,28
,,,,,,,,,,,,,,,,,,,,,,493,3868.487,0.028,28
,,,,,,,,,,,,,,,,,,,,,,493,8768.253,0.016,28
,,,,,,,,,,,,,,,,,,,,,,493,19700.697,0.01,28
,,,,,,,,,,,,,,,,,,,,,,493,30082.329,0.01,28
,,,,,,,,,,,,,,,,,,,,,,493,103091.352,0.007,28
,,,,,,,,,,,,,,,,,,,,,,493,133616.685,0.008,28
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,535,0.001,-0.009,29
,,,,,,,,,,,,,,,,,,,,,,535,0.002,0.063,29
,,,,,,,,,,,,,,,,,,,,,,535,0.004,0.231,29
,,,,,,,,,,,,,,,,,,,,,,535,0.006,0.399,29
,,,,,,,,,,,,,,,,,,,,,,535,0.013,0.394,29
,,,,,,,,,,,,,,,,,,,,,,535,0.025,0.124,29
,,,,,,,,,,,,,,,,,,,,,,535,0.047,0.068,29
,,,,,,,,,,,,,,,,,,,,,,535,0.846,0.033,29
,,,,,,,,,,,,,,,,,,,,,,535,1.264,0.14,29
,,,,,,,,,,,,,,,,,,,,,,535,1.796,0.419,29
,,,,,,,,,,,,,,,,,,,,,,535,1.948,0.637,29
,,,,,,,,,,,,,,,,,,,,,,535,3.563,1.039,29
,,,,,,,,,,,,,,,,,,,,,,535,6.911,0.738,29
,,,,,,,,,,,,,,,,,,,,,,535,12.029,0.312,29
,,,,,,,,,,,,,,,,,,,,,,535,15.137,0.014,29
,,,,,,,,,,,,,,,,,,,,,,535,113.96,0,29
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,536,0.001,0.008,29
,,,,,,,,,,,,,,,,,,,,,,536,0.002,0,29
,,,,,,,,,,,,,,,,,,,,,,536,0.005,0.09,29
,,,,,,,,,,,,,,,,,,,,,,536,0.007,0.247,29
,,,,,,,,,,,,,,,,,,,,,,536,0.011,0.497,29
,,,,,,,,,,,,,,,,,,,,,,536,0.019,0.525,29
,,,,,,,,,,,,,,,,,,,,,,536,0.039,0.076,29
,,,,,,,,,,,,,,,,,,,,,,536,0.111,0.074,29
,,,,,,,,,,,,,,,,,,,,,,536,1.286,0.058,29
,,,,,,,,,,,,,,,,,,,,,,536,1.793,0.404,29
,,,,,,,,,,,,,,,,,,,,,,536,1.872,0.753,29
,,,,,,,,,,,,,,,,,,,,,,536,3.497,1.082,29
,,,,,,,,,,,,,,,,,,,,,,536,6.669,0.84,29
,,,,,,,,,,,,,,,,,,,,,,536,9.841,0.488,29
,,,,,,,,,,,,,,,,,,,,,,536,12.176,0.248,29
,,,,,,,,,,,,,,,,,,,,,,536,19.825,0.055,29
,,,,,,,,,,,,,,,,,,,,,,536,231.109,0.022,29
,,,,,,,,,,,,,,,,,,,,,,536,5515.066,0,29
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,539,0.006,0.046,29
,,,,,,,,,,,,,,,,,,,,,,539,0.024,0.052,29
,,,,,,,,,,,,,,,,,,,,,,539,0.103,0.104,29
,,,,,,,,,,,,,,,,,,,,,,539,0.374,0.08,29
,,,,,,,,,,,,,,,,,,,,,,539,1.559,0.04,29
,,,,,,,,,,,,,,,,,,,,,,539,5.755,0.077,29
,,,,,,,,,,,,,,,,,,,,,,539,13.387,0.01,29
,,,,,,,,,,,,,,,,,,,,,,539,24.311,0.083,29
,,,,,,,,,,,,,,,,,,,,,,539,30.122,0.328,29
,,,,,,,,,,,,,,,,,,,,,,539,51.534,0.693,29
,,,,,,,,,,,,,,,,,,,,,,539,99.559,0.981,29
,,,,,,,,,,,,,,,,,,,,,,539,165.505,0.747,29
,,,,,,,,,,,,,,,,,,,,,,539,292.046,0.271,29
,,,,,,,,,,,,,,,,,,,,,,539,562.963,0.051,29
,,,,,,,,,,,,,,,,,,,,,,539,1807.997,0.105,29
,,,,,,,,,,,,,,,,,,,,,,539,5629.63,0.051,29
,,,,,,,,,,,,,,,,,,,,,,539,17606.839,0.013,29
,,,,,,,,,,,,,,,,,,,,,,539,113925.746,0,29
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,541,0.002,-0.004,30
,,,,,,,,,,,,,,,,,,,,,,541,0.009,-0.015,30
,,,,,,,,,,,,,,,,,,,,,,541,0.018,0.187,30
,,,,,,,,,,,,,,,,,,,,,,541,0.032,0.563,30
,,,,,,,,,,,,,,,,,,,,,,541,0.056,0.972,30
,,,,,,,,,,,,,,,,,,,,,,541,0.1,0.873,30
,,,,,,,,,,,,,,,,,,,,,,541,0.154,0.553,30
,,,,,,,,,,,,,,,,,,,,,,541,0.205,0.313,30
,,,,,,,,,,,,,,,,,,,,,,541,0.316,-0.024,30
,,,,,,,,,,,,,,,,,,,,,,541,4.87,-0.043,30
,,,,,,,,,,,,,,,,,,,,,,541,10,0.317,30
,,,,,,,,,,,,,,,,,,,,,,541,13.335,0.569,30
,,,,,,,,,,,,,,,,,,,,,,541,17.783,0.806,30
,,,,,,,,,,,,,,,,,,,,,,541,31.623,0.484,30
,,,,,,,,,,,,,,,,,,,,,,541,48.697,0.227,30
,,,,,,,,,,,,,,,,,,,,,,541,56.234,0.059,30
,,,,,,,,,,,,,,,,,,,,,,541,273.842,0.001,30
,,,,,,,,,,,,,,,,,,,,,,541,1000,0.008,30
,,,,,,,,,,,,,,,,,,,,,,541,3162.278,0,30
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,630,3.198,0.007,34
,,,,,,,,,,,,,,,,,,,,,,630,4.2,0.008,34
,,,,,,,,,,,,,,,,,,,,,,630,7.242,0.012,34
,,,,,,,,,,,,,,,,,,,,,,630,12.487,0.065,34
,,,,,,,,,,,,,,,,,,,,,,630,21.287,0.204,34
,,,,,,,,,,,,,,,,,,,,,,630,33.281,0.381,34
,,,,,,,,,,,,,,,,,,,,,,630,55.18,0.546,34
,,,,,,,,,,,,,,,,,,,,,,630,72.459,0.582,34
,,,,,,,,,,,,,,,,,,,,,,630,95.148,0.574,34
,,,,,,,,,,,,,,,,,,,,,,630,154.488,0.463,34
,,,,,,,,,,,,,,,,,,,,,,630,187.539,0.384,34
,,,,,,,,,,,,,,,,,,,,,,630,286.422,0.176,34
,,,,,,,,,,,,,,,,,,,,,,630,344.882,0.085,34
,,,,,,,,,,,,,,,,,,,,,,630,372.504,0.04,34
,,,,,,,,,,,,,,,,,,,,,,630,487.801,0.016,34
,,,,,,,,,,,,,,,,,,,,,,630,640.546,0.016,34
,,,,,,,,,,,,,,,,,,,,,,630,1904.492,0.017,34
,,,,,,,,,,,,,,,,,,,,,,630,4312.219,0.018,34
